Fecha,Nombre del Festivo
2024/01/01,Año Nuevo
2024/01/02,Navidad
2024/01/03,Navidad
2024/01/04,Navidad
2024/01/05,Navidad
2024/01/06,Epifanía del Señor (Reyes Magos)
2024/02/29,Miércoles de Ceniza
2024/03/27,Jueves Santo
2024/03/29,Viernes Santo
2024/03/31,Domingo de Resurrección
2024/04/01,Lunes de Pascua
2024/04/26-29,Semana de la Virgen de la Cabeza
2024/04/26,Viernes de Proclamación y Convite de Banderas Romería Virgen de la Cabeza
2024/04/27,Sábado de Peregrinación de la Cofradía Matriz de Andújar
2024/04/28,Domingo de Romería de la Virgen de la Cabeza
2024/04/29,Lunes de Romería Virgen de la Cabeza
2024/05/01,Día del Trabajo
2024/05/25,Ascensión del Señor
2024/06/06,Corpus Christi
2024/06/24,San Juan Bautista
2024/08/15,Asunción de la Virgen
2024/09/09,Festividad Local (Feria y Fiestas de septiembre en honor a San Eufrasio)
2024/10/12,Fiesta Nacional de España
2024/11/01,Todos los Santos
2024/12/25,Navidad
2024/12/26,Navidad
2024/12/27,Navidad
2024/12/28,Navidad
2024/12/29,Navidad
2024/12/30,Navidad
2024/12/31,Fin de año
